rep,method,jmax,alpha,val_mse,test_mse,test_rmse
0,Random,5,0.0001,7.093510982533328,3.84397849862329,1.9606066659642087
0,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
0,Twinning,6,0.002154434690031882,3.7386528949035487,10.6997322600489,3.2710445212575294
0,DUPLEX,7,21.54434690031882,21.774129219380562,8.662728092573376,2.9432512792103522
0,MaxTwin,7,0.002154434690031882,1.4032924781976472,5.356152918076305,2.3143363882712262
0,WMaxTwin $\gamma=0.10$,7,0.0001,2.4151390581503107,9.971209272982803,3.157722165261346
0,WMaxTwin $\gamma=0.25$,7,0.00046415888336127773,2.0555709028208264,6.259883046191741,2.5019758284587286
0,WMaxTwin $\gamma=0.50$,7,0.00046415888336127773,2.222271096927202,6.259883046191741,2.5019758284587286
0,WMaxTwin $\gamma=0.75$,7,0.046415888336127774,2.496220569555001,3.1640630059206925,1.7787813260546368
0,WMaxTwin equal $\gamma=0.25$,7,0.00046415888336127773,2.011444286583737,6.259883046191741,2.5019758284587286
1,Random,7,0.046415888336127774,7.626395710264638,3.1640630059206925,1.7787813260546368
1,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
1,Twinning,7,0.046415888336127774,2.1392255458783684,3.1640630059206925,1.7787813260546368
1,DUPLEX,7,21.54434690031882,21.7741292193806,8.662728092573376,2.9432512792103522
1,MaxTwin,7,0.0001,1.8144581842535084,9.971209272982803,3.157722165261346
1,WMaxTwin $\gamma=0.10$,7,0.046415888336127774,2.231485088538032,3.1640630059206925,1.7787813260546368
1,WMaxTwin $\gamma=0.25$,7,0.00046415888336127773,1.7039400359732775,6.259883046191741,2.5019758284587286
1,WMaxTwin $\gamma=0.50$,6,0.046415888336127774,2.927472738320281,4.250222608835143,2.0616068026748318
1,WMaxTwin $\gamma=0.75$,7,0.0001,2.048994943646297,9.971209272982803,3.157722165261346
1,WMaxTwin equal $\gamma=0.25$,7,0.00046415888336127773,2.532769077947597,6.259883046191741,2.5019758284587286
2,Random,7,1.0,5.753744257380497,5.3484958939263265,2.3126815375071264
2,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
2,Twinning,6,0.00046415888336127773,2.4024500233332735,18.690507517409028,4.323251960898072
2,DUPLEX,7,21.54434690031882,21.7741292193806,8.662728092573376,2.9432512792103522
2,MaxTwin,7,0.00046415888336127773,1.9769640252249714,6.259883046191741,2.5019758284587286
2,WMaxTwin $\gamma=0.10$,7,0.046415888336127774,2.7210421748076583,3.1640630059206925,1.7787813260546368
2,WMaxTwin $\gamma=0.25$,7,0.046415888336127774,2.484167984824408,3.1640630059206925,1.7787813260546368
2,WMaxTwin $\gamma=0.50$,7,0.046415888336127774,2.8125857587236056,3.1640630059206925,1.7787813260546368
2,WMaxTwin $\gamma=0.75$,7,0.0001,1.855134235219779,9.971209272982803,3.157722165261346
2,WMaxTwin equal $\gamma=0.25$,7,0.046415888336127774,2.252608532066915,3.1640630059206925,1.7787813260546368
3,Random,6,0.046415888336127774,4.748181076750619,4.250222608835143,2.0616068026748318
3,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
3,Twinning,7,0.0001,2.253289343817919,9.971209272982803,3.157722165261346
3,DUPLEX,7,21.54434690031882,21.774129219380622,8.662728092573376,2.9432512792103522
3,MaxTwin,7,0.0001,2.3220520186214153,9.971209272982803,3.157722165261346
3,WMaxTwin $\gamma=0.10$,7,0.00046415888336127773,2.172079080469991,6.259883046191741,2.5019758284587286
3,WMaxTwin $\gamma=0.25$,7,0.046415888336127774,2.529452274455381,3.1640630059206925,1.7787813260546368
3,WMaxTwin $\gamma=0.50$,7,0.0001,2.3952207569835835,9.971209272982803,3.157722165261346
3,WMaxTwin $\gamma=0.75$,7,0.046415888336127774,2.846105214467585,3.1640630059206925,1.7787813260546368
3,WMaxTwin equal $\gamma=0.25$,7,0.0001,1.9569739102145203,9.971209272982803,3.157722165261346
4,Random,7,0.21544346900318823,5.01536632659319,3.9221055651590357,1.9804306514389833
4,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
4,Twinning,7,0.0001,2.5979965920582413,9.971209272982803,3.157722165261346
4,DUPLEX,7,21.54434690031882,21.7741292193806,8.662728092573376,2.9432512792103522
4,MaxTwin,7,0.002154434690031882,2.067785706578596,5.356152918076305,2.3143363882712262
4,WMaxTwin $\gamma=0.10$,7,0.00046415888336127773,1.7333919188562759,6.259883046191741,2.5019758284587286
4,WMaxTwin $\gamma=0.25$,7,0.00046415888336127773,2.352274664730082,6.259883046191741,2.5019758284587286
4,WMaxTwin $\gamma=0.50$,7,0.00046415888336127773,3.1858935719520263,6.259883046191741,2.5019758284587286
4,WMaxTwin $\gamma=0.75$,7,0.00046415888336127773,1.33185291978949,6.259883046191741,2.5019758284587286
4,WMaxTwin equal $\gamma=0.25$,7,0.0001,2.5039081820524256,9.971209272982803,3.157722165261346
5,Random,6,0.21544346900318823,4.796800872046269,4.966710705954686,2.22861183384516
5,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
5,Twinning,7,0.046415888336127774,3.2727621739504227,3.1640630059206925,1.7787813260546368
5,DUPLEX,7,21.54434690031882,21.7741292193806,8.662728092573376,2.9432512792103522
5,MaxTwin,6,0.0001,1.3189639484115334,27.94917702380666,5.286698121115547
5,WMaxTwin $\gamma=0.10$,7,0.0001,2.3283148497486317,9.971209272982803,3.157722165261346
5,WMaxTwin $\gamma=0.25$,7,0.046415888336127774,2.675189477777607,3.1640630059206925,1.7787813260546368
5,WMaxTwin $\gamma=0.50$,7,0.046415888336127774,2.8791517458171483,3.1640630059206925,1.7787813260546368
5,WMaxTwin $\gamma=0.75$,7,0.046415888336127774,2.654249881463796,3.1640630059206925,1.7787813260546368
5,WMaxTwin equal $\gamma=0.25$,7,0.00046415888336127773,2.390302993113329,6.259883046191741,2.5019758284587286
6,Random,7,0.21544346900318823,4.52337763985989,3.9221055651590357,1.9804306514389833
6,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
6,Twinning,7,0.046415888336127774,2.3462468752615107,3.1640630059206925,1.7787813260546368
6,DUPLEX,7,21.54434690031882,21.7741292193806,8.662728092573376,2.9432512792103522
6,MaxTwin,7,0.0001,1.7698225222528712,9.971209272982803,3.157722165261346
6,WMaxTwin $\gamma=0.10$,6,0.046415888336127774,3.3782222619488746,4.250222608835143,2.0616068026748318
6,WMaxTwin $\gamma=0.25$,7,0.0001,1.6917374676644548,9.971209272982803,3.157722165261346
6,WMaxTwin $\gamma=0.50$,7,0.00046415888336127773,2.107189800710055,6.259883046191741,2.5019758284587286
6,WMaxTwin $\gamma=0.75$,7,0.0001,1.9229404963859678,9.971209272982803,3.157722165261346
6,WMaxTwin equal $\gamma=0.25$,7,0.0001,2.7599946567395626,9.971209272982803,3.157722165261346
7,Random,7,0.0001,4.725474858870798,9.971209272982803,3.157722165261346
7,SPlit,6,0.002154434690031882,3.6737143310826124,10.6997322600489,3.2710445212575294
7,Twinning,7,0.01,3.242317101735057,4.515834064579049,2.125049191096302
7,DUPLEX,7,21.54434690031882,21.774129219380562,8.662728092573376,2.9432512792103522
7,MaxTwin,6,0.0001,1.4139594186992488,27.94917702380666,5.286698121115547
7,WMaxTwin $\gamma=0.10$,7,0.00046415888336127773,2.036606630447039,6.259883046191741,2.5019758284587286
7,WMaxTwin $\gamma=0.25$,7,0.046415888336127774,2.755086428770832,3.1640630059206925,1.7787813260546368
7,WMaxTwin $\gamma=0.50$,7,0.046415888336127774,2.7957378980950143,3.1640630059206925,1.7787813260546368
7,WMaxTwin $\gamma=0.75$,7,0.0001,2.4424410039071,9.971209272982803,3.157722165261346
7,WMaxTwin equal $\gamma=0.25$,7,0.0001,2.0208603309297146,9.971209272982803,3.157722165261346
