method,mean_jmax,sd_jmax,median_alpha,mean_val_mse,sd_val_mse,mean_test_rmse,sd_test_rmse,mean_test_mse,sd_test_mse
Random,6.5,0.7559289460184544,0.130929678669658,5.5353564655374035,1.1930448687451998,2.1826089542731597,0.42739014267227826,4.923611389570127,2.150804725214759
SPlit,6.0,0.0,0.002154434690031882,3.6737143310826124,0.0,3.2710445212575294,0.0,10.6997322600489,0.0
Twinning,6.75,0.46291004988627593,0.006077217345015941,2.749117568867293,0.5879460925377876,2.6713917477423132,0.9449119722053333,7.917585175720582,5.4979317114073325
DUPLEX,7.0,0.0,21.54434690031882,21.774129219380594,2.0186703662415228e-14,2.9432512792103522,0.0,8.662728092573376,0.0
MaxTwin,6.75,0.46291004988627565,0.0001,1.7609122877799739,0.35901861421978165,3.3971514178770392,1.222355378593444,12.84802134361326,9.536229414045284
WMaxTwin $\gamma=0.10$,6.875,0.35355339059327373,0.00046415888336127773,2.3770351328708514,0.4953933557535553,2.430067658835373,0.5422948187466609,6.16255203815217,2.690699235708346
WMaxTwin $\gamma=0.25$,7.0,0.0,0.023440023609744527,2.280927404627109,0.4173514956927187,2.22234686935701,0.5205087584433377,5.1758888044050995,2.4701070283008777
WMaxTwin $\gamma=0.50$,6.875,0.3535533905932738,0.023440023609744527,2.6656904209411145,0.3788884311164095,2.2577000539345344,0.49506042486422885,5.311658754769406,2.37161633086045
WMaxTwin $\gamma=0.75$,7.0,0.0,0.00028207944168063886,2.199742408054377,0.49892668836339993,2.5586510584585027,0.6827828816456636,6.954613644485629,3.3803395809604257
WMaxTwin equal $\gamma=0.25$,7.0,0.0,0.00028207944168063886,2.303607746205975,0.29191529656719284,2.739449684059526,0.5059464489557373,7.728568654553391,2.602843824927527
